City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,gargalianoi,37.0667,21.6333,9.09,78,5,3.61,GR,1707093519
323,essaouira,31.5125,-9.77,13.72,38,40,1.54,MA,1707093520
324,north bend,43.4065,-124.2243,8.25,76,100,3.6,US,1707093520
325,hammerfest,70.6634,23.6821,-3.75,80,37,8.75,NO,1707093521
326,buka,40.8108,69.1986,2.09,63,100,1.36,UZ,1707093522
327,masuguru,-11.3667,38.4167,23.23,98,100,1.45,TZ,1707093522
328,maintirano,-18.0667,44.0167,25.99,85,38,2.03,MG,1707093523
329,orapa,-21.2833,25.3667,26.98,36,100,2.79,BW,1707093523
330,narimanov,46.6927,47.8498,4.97,82,100,8.9,RU,1707093524
331,giessen,50.5833,8.8192,10.28,93,100,4.92,DE,1707093525
332,talakan,50.3167,130.3667,-22.29,93,57,0.54,RU,1707093525
333,al burayqah,30.4062,19.5739,15.61,65,100,4.8,LY,1707093526
334,okhotsk,59.3833,143.3,-21.02,78,28,6.5,RU,1707093526
335,guerrero negro,27.9769,-114.0611,17.07,56,0,4.75,MX,1707093527
336,codrington,-38.2667,141.9667,19.17,57,15,5.59,AU,1707093528
337,yuzhno-kurilsk,44.0306,145.8556,-4.24,71,100,8.42,RU,1707093381
338,serhetabat,35.2799,62.3438,3.67,40,15,2.9,TM,1707093529
339,codajas,-3.8367,-62.0569,23.45,99,99,1.66,BR,1707093530
340,kapuskasing,49.4169,-82.4331,-1.95,86,0,1.54,CA,1707093531
341,jalqani,12.4486,34.2186,23.0,22,41,4.82,SD,1707093531
342,kikwit,-5.041,18.8162,22.45,94,100,0.37,CD,1707093532
343,fisterra,42.9049,-9.2629,10.01,77,100,1.29,ES,1707093532
344,gurlan,41.8447,60.3919,1.95,66,96,3.94,UZ,1707093533
345,port augusta,-32.5,137.7667,25.07,47,7,10.57,AU,1707093534
346,'ain el berd,35.3639,-0.5128,10.83,42,0,1.99,DZ,1707093534
347,pampa,35.5362,-100.9599,8.53,87,100,8.23,US,1707093535
348,kingston,17.997,-76.7936,27.53,83,75,2.57,JM,1707093535
349,katsuura,35.1333,140.3,8.0,80,100,6.24,JP,1707093514
